source target
I1L 	 I2L         
I1L 	 I3          
I1L 	 I5          
I1L 	 I6          
I1L 	 M2L         
I1L 	 M3L         
I1L 	 M3R         
I1L 	 MCL         
I1L 	 MCR         
I1L 	 MI          
I1L 	 NSML        
I1L 	 pm1vl       
I1L 	 pm3vl       
I1L 	 pm4d        
I1L 	 pm4vl       
I1R 	 I2R         
I1R 	 I3          
I1R 	 I5          
I1R 	 M1          
I1R 	 M2L         
I1R 	 M2R         
I1R 	 M3L         
I1R 	 M3R         
I1R 	 MCL         
I1R 	 MCR         
I1R 	 MI          
I1R 	 NSML        
I1R 	 NSMR        
I1R 	 pm1vr       
I1R 	 pm3vr       
I1R 	 pm4d        
I1R 	 pm4vr       
I1R 	 pm5vr       
I2L 	 I1L         
I2L 	 I2R         
I2L 	 I4          
I2L 	 I5          
I2L 	 M1          
I2L 	 NSML        
I2L 	 NSMR        
I2L 	 pm3vl       
I2L 	 pm4vl       
I2L 	 pm5d        
I2L 	 pm5vl       
I2L 	 pm5vr       
I2R 	 I1R         
I2R 	 I2L         
I2R 	 I4          
I2R 	 I5          
I2R 	 M1          
I2R 	 M2R         
I2R 	 M3R         
I2R 	 M4          
I2R 	 MCL         
I2R 	 NSML        
I2R 	 NSMR        
I2R 	 pm1vr       
I2R 	 pm3vr       
I2R 	 pm4d        
I2R 	 pm4vl       
I2R 	 pm5vl       
I2R 	 pm5vr       
I3 	 I1L         
I3 	 I5          
I3 	 I6          
I3 	 M1          
I3 	 M2L         
I3 	 M3L         
I3 	 M3R         
I3 	 M4          
I3 	 MCL         
I3 	 MCR         
I3 	 MI          
I3 	 NSMR        
I3 	 pm4d        
I3 	 pm5d        
I4 	 I2R         
I4 	 I5          
I4 	 M2L         
I4 	 M3L         
I4 	 M3R         
I4 	 MI          
I4 	 NSML        
I4 	 NSMR        
I4 	 pm4d        
I4 	 pm5vl       
I4 	 pm5vr       
I5 	 I1L         
I5 	 I2L         
I5 	 I2R         
I5 	 I3          
I5 	 I4          
I5 	 M1          
I5 	 M2L         
I5 	 M3L         
I5 	 M3R         
I5 	 M4          
I5 	 MI          
I5 	 NSML        
I5 	 NSMR        
I5 	 pm5vl       
I5 	 pm5vr       
I6 	 I1R         
I6 	 I2L         
I6 	 I2R         
I6 	 I3          
I6 	 M3L         
I6 	 M4          
I6 	 NSML        
I6 	 NSMR        
I6 	 pm5d        
M1 	 I2L         
M1 	 I2R         
M1 	 I3          
M1 	 I4          
M1 	 I5          
M1 	 MI          
M1 	 NSML        
M1 	 pm2d        
M1 	 pm3vl       
M1 	 pm4d        
M1 	 pm5d        
M2L 	 I3          
M2L 	 I4          
M2L 	 I5          
M2L 	 M3L         
M2L 	 M3R         
M2L 	 pm4d        
M2L 	 pm4vl       
M2L 	 pm5d        
M2L 	 pm5vl       
M2R 	 I4          
M2R 	 I5          
M2R 	 M3L         
M2R 	 M3R         
M2R 	 NSMR        
M2R 	 pm4d        
M2R 	 pm4vr       
M2R 	 pm5vr       
M3L 	 NSML        
M3L 	 pm4d        
M3L 	 pm4vl       
M3L 	 pm5d        
M3L 	 pm5vl       
M3R 	 M4          
M3R 	 pm4d        
M3R 	 pm4vr       
M4 	 I4          
M4 	 I5          
M4 	 M2L         
M4 	 M3L         
M4 	 M4          
M4 	 MCL         
M4 	 pm4vr       
M4 	 pm5d        
M4 	 pm5vl       
M4 	 pm5vr       
M5 	 pm5vl       
M5 	 pm5vr       
M5 	 pm6d        
M5 	 pm6vl       
M5 	 pm6vr       
M5 	 pm7d        
M5 	 pm7vr       
MCL 	 mc2dr       
MCL 	 mc2v        
MCR 	 mc2dl       
MCR 	 mc2dr       
MCR 	 mc2v        
MI 	 I1L         
MI 	 I3          
MI 	 I4          
MI 	 M1          
MI 	 M2L         
MI 	 M2R         
MI 	 M3L         
MI 	 MCL         
MI 	 NSML        
MI 	 NSMR        
MI 	 pm4d        
MI 	 pm4vl       
MI 	 pm4vr       
MI 	 pm5d        
NSML 	 I4          
NSML 	 M3L         
NSML 	 M3R         
NSML 	 M4          
NSML 	 NSMR        
NSML 	 pm4vl       
NSML 	 pm5d        
NSML 	 pm5vl       
NSML 	 pm5vr       
NSMR 	 I2L         
NSMR 	 I2R         
NSMR 	 I4          
NSMR 	 I6          
NSMR 	 M3R         
NSMR 	 pm4d        
NSMR 	 pm5d        
NSMR 	 pm5vl       
NSMR 	 pm5vr       
ADFL 	 AWAL        
ADFL 	 OLQVL       
ADFL 	 AUAL        
ADFL 	 AIZL        
ADFL 	 ADAL        
ADFL 	 RIAL        
ADFL 	 RIBL        
ADFL 	 RIGL        
ADFL 	 SMBVL       
ADFR 	 ASGR        
ADFR 	 AWAR        
ADFR 	 AWBR        
ADFR 	 AFDR        
ADFR 	 AUAR        
ADFR 	 AIZR        
ADFR 	 RIAR        
ADFR 	 RIPR        
ADFR 	 SMBDR       
ADFR 	 SMBVR       
ADLL 	 ASGL        
ADLL 	 ASHL        
ADLL 	 ASKL        
ADLL 	 CEPDL       
ADLL 	 AIBL        
ADLL 	 AVFL        
ADLL 	 AVHL        
ADLL 	 AVJL        
ADLL 	 PVQL        
ADLL 	 SMBVL       
ADLR 	 ASER        
ADLR 	 ASGR        
ADLR 	 ASHR        
ADLR 	 AIAR        
ADLR 	 AIBR        
ADLR 	 AVFR        
ADLR 	 AVDL        
ADLR 	 SMBVR       
ASEL 	 ASKL        
ASEL 	 AWCL        
ASEL 	 AIBL        
ASEL 	 AIYL        
ASEL 	 RIBL        
ASER 	 AFDR        
ASER 	 AIBR        
ASER 	 AIYR        
ASGL 	 ASEL        
ASGL 	 AIAL        
ASGL 	 AIZL        
ASGL 	 AIML        
ASGL 	 RICL        
ASGR 	 AIAR        
ASGR 	 AIBR        
ASGR 	 AIMR        
ASHL 	 ADFL        
ASHL 	 ADLL        
ASHL 	 ASKL        
ASHL 	 AIAL        
ASHL 	 AIBL        
ASHL 	 RIAL        
ASHL 	 RIFL        
ASHL 	 AVFL        
ASHL 	 PVQL        
ASHL 	 AVBL        
ASHL 	 SMBVL       
ASHR 	 ASKR        
ASHR 	 AIAR        
ASHR 	 AIBR        
ASHR 	 AVBR        
ASHR 	 AVDL        
ASIL 	 ASGL        
ASIL 	 AWCL        
ASIL 	 AFDL        
ASIL 	 AIAL        
ASIL 	 AIBL        
ASIL 	 AIML        
ASIL 	 SAAVL       
ASIR 	 ASGR        
ASIR 	 ASKR        
ASIR 	 AWCR        
ASIR 	 AFDR        
ASIR 	 AIAR        
ASJL 	 ASKL        
ASJL 	 OLQDL       
ASJL 	 PVQL        
ASJL 	 URADL       
ASJR 	 ASKR        
ASJR 	 RIFR        
ASJR 	 RMGR        
ASJR 	 PVQR        
ASJR 	 AVBL        
ASKL 	 ASHL        
ASKL 	 AIAL        
